Ref,Val,Package,PosX,PosY,Rot,Side
"D239","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-187.000000,-117.250000,0.000000,bottom
"D240","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-205.500000,-114.250000,0.000000,bottom
"D241","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-115.500000,-128.400000,0.000000,bottom
"D242","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-133.500000,-132.250000,0.000000,bottom
"D243","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-172.500000,-130.100000,0.000000,bottom
"D244","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-189.500000,-125.750000,0.000000,bottom
"D245","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-87.500000,-131.250000,0.000000,bottom
"D246","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-95.500000,-132.250000,0.000000,bottom
"D247","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-104.500000,-134.750000,0.000000,bottom
"D248","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-113.200000,-136.250000,0.000000,bottom
"D249","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-122.000000,-138.000000,0.000000,bottom
"D250","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-131.000000,-140.250000,0.000000,bottom
"D251","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-166.000000,-140.250000,0.000000,bottom
"D252","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-173.500000,-138.500000,0.000000,bottom
"D253","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-183.000000,-136.750000,0.000000,bottom
"D254","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-191.000000,-134.750000,0.000000,bottom
"D255","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-200.500000,-132.750000,0.000000,bottom
"D256","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-208.500000,-131.250000,0.000000,bottom
"D257","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-94.500000,-142.250000,0.000000,bottom
"D258","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-112.500000,-146.250000,0.000000,bottom
"D259","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-176.000000,-146.750000,0.000000,bottom
"D260","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-193.355000,-142.800000,0.000000,bottom
"Q1","IRLML6402","SOT-23",-138.500000,-110.950000,180.000000,bottom
"Q51","2N7002","SOT-23",-153.812500,-111.050000,180.000000,bottom
"R1","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-142.250000,-111.050000,90.000000,bottom
"R51","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-157.250000,-111.200000,-90.000000,bottom
"U1","XIAO","Seeed XIAO SMD",-148.000000,-80.250000,180.000000,bottom
"C1","C","C_Radial_D10.0mm_H12.5mm_P5.00mm",150.500000,-112.750000,180.000000,top
"SW12","SW_Push","SW_Choc_1U",170.300000,-143.600000,12.000000,top
"SW13","SW_Push","SW_Choc_1U",187.950000,-139.850000,12.000000,top
"SW14","SW_Push","SW_Choc_1U",205.500000,-136.100000,12.000000,top
"SW15","SW_Push","SW_Choc_1U",129.138457,-126.882410,-12.000000,top
"SW16","SW_Push","SW_Choc_1U",125.603958,-143.510920,-12.000000,top
"SW17","SW_Push","SW_Choc_1U",108.000000,-139.768510,-12.000000,top
